"filename", "language", "JSON with Comments", "Markdown", "Rust", "TOML", "JSON", "MS SQL", "Log", "comment", "blank", "total"
"/home/banchen/Desktop/agent-parallel-system/.mcps/fs-list-dir.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/banchen/Desktop/agent-parallel-system/.mcps/fs-read-file.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/home/banchen/Desktop/agent-parallel-system/.mcps/fs-write-file.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/home/banchen/Desktop/agent-parallel-system/.mcps/system-info.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/banchen/Desktop/agent-parallel-system/.mcps/terminal-run.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/home/banchen/Desktop/agent-parallel-system/.mcps/web-search.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/home/banchen/Desktop/agent-parallel-system/.roo/mcp.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/home/banchen/Desktop/agent-parallel-system/.roo/skills/web-search/SKILL.md", "Markdown", 0, 379, 0, 0, 0, 0, 0, 0, 141, 520
"/home/banchen/Desktop/agent-parallel-system/.workspace/aa/memory.log", "Log", 0, 0, 0, 0, 0, 0, 321, 0, 85, 406
"/home/banchen/Desktop/agent-parallel-system/Cargo.lock", "TOML", 0, 0, 0, 4732, 0, 0, 0, 0, 498, 5230
"/home/banchen/Desktop/agent-parallel-system/Cargo.toml", "TOML", 0, 0, 0, 59, 0, 0, 0, 16, 14, 89
"/home/banchen/Desktop/agent-parallel-system/README.md", "Markdown", 0, 519, 0, 0, 0, 0, 0, 0, 159, 678
"/home/banchen/Desktop/agent-parallel-system/config/personality_setting.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/home/banchen/Desktop/agent-parallel-system/docs/agent_mcp_api.md", "Markdown", 0, 169, 0, 0, 0, 0, 0, 0, 52, 221
"/home/banchen/Desktop/agent-parallel-system/docs/api_testing_guide.md", "Markdown", 0, 222, 0, 0, 0, 0, 0, 0, 57, 279
"/home/banchen/Desktop/agent-parallel-system/docs/auth_api_standard.md", "Markdown", 0, 322, 0, 0, 0, 0, 0, 0, 58, 380
"/home/banchen/Desktop/agent-parallel-system/docs/channel_layer.md", "Markdown", 0, 268, 0, 0, 0, 0, 0, 0, 73, 341
"/home/banchen/Desktop/agent-parallel-system/docs/chat_agent_architecture.md", "Markdown", 0, 658, 0, 0, 0, 0, 0, 0, 140, 798
"/home/banchen/Desktop/agent-parallel-system/docs/chat_agent_implementation.md", "Markdown", 0, 113, 0, 0, 0, 0, 0, 0, 31, 144
"/home/banchen/Desktop/agent-parallel-system/docs/chinese_message_testing.md", "Markdown", 0, 270, 0, 0, 0, 0, 0, 0, 56, 326
"/home/banchen/Desktop/agent-parallel-system/docs/debug_streaming_response.md", "Markdown", 0, 212, 0, 0, 0, 0, 0, 0, 48, 260
"/home/banchen/Desktop/agent-parallel-system/docs/mcp_config_api.md", "Markdown", 0, 282, 0, 0, 0, 0, 0, 0, 62, 344
"/home/banchen/Desktop/agent-parallel-system/docs/streaming_api_guide.md", "Markdown", 0, 246, 0, 0, 0, 0, 0, 0, 67, 313
"/home/banchen/Desktop/agent-parallel-system/docs/streaming_response_fix.md", "Markdown", 0, 198, 0, 0, 0, 0, 0, 0, 45, 243
"/home/banchen/Desktop/agent-parallel-system/docs/troubleshooting_guide.md", "Markdown", 0, 246, 0, 0, 0, 0, 0, 0, 71, 317
"/home/banchen/Desktop/agent-parallel-system/docs/user_message_api.md", "Markdown", 0, 296, 0, 0, 0, 0, 0, 0, 55, 351
"/home/banchen/Desktop/agent-parallel-system/docs/user_message_examples.md", "Markdown", 0, 186, 0, 0, 0, 0, 0, 0, 40, 226
"/home/banchen/Desktop/agent-parallel-system/examples/test_streaming_debug.rs", "Rust", 0, 0, 56, 0, 0, 0, 0, 18, 16, 90
"/home/banchen/Desktop/agent-parallel-system/migrations/001_create_messages_table.sql", "MS SQL", 0, 0, 0, 0, 0, 123, 0, 26, 20, 169
"/home/banchen/Desktop/agent-parallel-system/migrations/002_add_mcp_list_to_agents.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 2, 2, 6
"/home/banchen/Desktop/agent-parallel-system/migrations/003_add_status_to_workspaces.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 3, 3, 10
"/home/banchen/Desktop/agent-parallel-system/migrations/004_create_task_reviews_table.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/banchen/Desktop/agent-parallel-system/src/agsnets/actor_agent.rs", "Rust", 0, 0, 399, 0, 0, 0, 0, 13, 43, 455
"/home/banchen/Desktop/agent-parallel-system/src/agsnets/actor_agents_manage.rs", "Rust", 0, 0, 326, 0, 0, 0, 0, 19, 39, 384
"/home/banchen/Desktop/agent-parallel-system/src/agsnets/handler.rs", "Rust", 0, 0, 35, 0, 0, 0, 0, 3, 5, 43
"/home/banchen/Desktop/agent-parallel-system/src/agsnets/mod.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/home/banchen/Desktop/agent-parallel-system/src/agsnets/model.rs", "Rust", 0, 0, 16, 0, 0, 0, 0, 2, 7, 25
"/home/banchen/Desktop/agent-parallel-system/src/api/auth.rs", "Rust", 0, 0, 68, 0, 0, 0, 0, 8, 14, 90
"/home/banchen/Desktop/agent-parallel-system/src/api/auth_utils.rs", "Rust", 0, 0, 48, 0, 0, 0, 0, 2, 9, 59
"/home/banchen/Desktop/agent-parallel-system/src/api/mod.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/home/banchen/Desktop/agent-parallel-system/src/api/redis_actor.rs", "Rust", 0, 0, 76, 0, 0, 0, 0, 12, 19, 107
"/home/banchen/Desktop/agent-parallel-system/src/api/user/actor_user.rs", "Rust", 0, 0, 112, 0, 0, 0, 0, 6, 20, 138
"/home/banchen/Desktop/agent-parallel-system/src/api/user/handler.rs", "Rust", 0, 0, 176, 0, 0, 0, 0, 17, 16, 209
"/home/banchen/Desktop/agent-parallel-system/src/api/user/mod.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/banchen/Desktop/agent-parallel-system/src/api/user/model.rs", "Rust", 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"/home/banchen/Desktop/agent-parallel-system/src/channel/actor_messages.rs", "Rust", 0, 0, 182, 0, 0, 0, 0, 17, 30, 229
"/home/banchen/Desktop/agent-parallel-system/src/channel/mod.rs", "Rust", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/banchen/Desktop/agent-parallel-system/src/chat/chat_agent.rs", "Rust", 0, 0, 311, 0, 0, 0, 0, 21, 27, 359
"/home/banchen/Desktop/agent-parallel-system/src/chat/handler.rs", "Rust", 0, 0, 182, 0, 0, 0, 0, 11, 14, 207
"/home/banchen/Desktop/agent-parallel-system/src/chat/mod.rs", "Rust", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/home/banchen/Desktop/agent-parallel-system/src/chat/model.rs", "Rust", 0, 0, 58, 0, 0, 0, 0, 12, 10, 80
"/home/banchen/Desktop/agent-parallel-system/src/chat/openai_actor.rs", "Rust", 0, 0, 216, 0, 0, 0, 0, 16, 38, 270
"/home/banchen/Desktop/agent-parallel-system/src/chat/ws_handler.rs", "Rust", 0, 0, 218, 0, 0, 0, 0, 31, 31, 280
"/home/banchen/Desktop/agent-parallel-system/src/core/actor_system.rs", "Rust", 0, 0, 82, 0, 0, 0, 0, 9, 17, 108
"/home/banchen/Desktop/agent-parallel-system/src/core/config.rs", "Rust", 0, 0, 180, 0, 0, 0, 0, 15, 40, 235
"/home/banchen/Desktop/agent-parallel-system/src/core/handler.rs", "Rust", 0, 0, 10, 0, 0, 0, 0, 2, 3, 15
"/home/banchen/Desktop/agent-parallel-system/src/core/mod.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/banchen/Desktop/agent-parallel-system/src/graph_memory/actor_memory.rs", "Rust", 0, 0, 299, 0, 0, 0, 0, 19, 34, 352
"/home/banchen/Desktop/agent-parallel-system/src/graph_memory/mod.rs", "Rust", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/home/banchen/Desktop/agent-parallel-system/src/graph_memory/neo4j_model.rs", "Rust", 0, 0, 547, 0, 0, 0, 0, 43, 51, 641
"/home/banchen/Desktop/agent-parallel-system/src/main.rs", "Rust", 0, 0, 236, 0, 0, 0, 0, 51, 45, 332
"/home/banchen/Desktop/agent-parallel-system/src/mcp/handler.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_actor.rs", "Rust", 0, 0, 672, 0, 0, 0, 0, 28, 84, 784
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/common.rs", "Rust", 0, 0, 36, 0, 0, 0, 0, 0, 9, 45
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/filesystem.rs", "Rust", 0, 0, 73, 0, 0, 0, 0, 0, 12, 85
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/mod.rs", "Rust", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/system.rs", "Rust", 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/terminal.rs", "Rust", 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/weather.rs", "Rust", 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"/home/banchen/Desktop/agent-parallel-system/src/mcp/mod.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/home/banchen/Desktop/agent-parallel-system/src/mcp/model.rs", "Rust", 0, 0, 51, 0, 0, 0, 0, 5, 11, 67
"/home/banchen/Desktop/agent-parallel-system/src/postgre_database/actor_database.rs", "Rust", 0, 0, 145, 0, 0, 0, 0, 25, 22, 192
"/home/banchen/Desktop/agent-parallel-system/src/postgre_database/mod.rs", "Rust", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/banchen/Desktop/agent-parallel-system/src/task/dag_orchestrator.rs", "Rust", 0, 0, 427, 0, 0, 0, 0, 17, 52, 496
"/home/banchen/Desktop/agent-parallel-system/src/task/handler.rs", "Rust", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/home/banchen/Desktop/agent-parallel-system/src/task/mod.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/home/banchen/Desktop/agent-parallel-system/src/task/model.rs", "Rust", 0, 0, 248, 0, 0, 0, 0, 25, 26, 299
"/home/banchen/Desktop/agent-parallel-system/src/task/task_agent.rs", "Rust", 0, 0, 246, 0, 0, 0, 0, 16, 25, 287
"/home/banchen/Desktop/agent-parallel-system/src/task/task_notify_queue.rs", "Rust", 0, 0, 89, 0, 0, 0, 0, 2, 18, 109
"/home/banchen/Desktop/agent-parallel-system/src/utils/database_util.rs", "Rust", 0, 0, 57, 0, 0, 0, 0, 8, 10, 75
"/home/banchen/Desktop/agent-parallel-system/src/utils/env_util.rs", "Rust", 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/home/banchen/Desktop/agent-parallel-system/src/utils/handler_util.rs", "Rust", 0, 0, 7, 0, 0, 0, 0, 2, 2, 11
"/home/banchen/Desktop/agent-parallel-system/src/utils/json_util.rs", "Rust", 0, 0, 12, 0, 0, 0, 0, 2, 1, 15
"/home/banchen/Desktop/agent-parallel-system/src/utils/mod.rs", "Rust", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/home/banchen/Desktop/agent-parallel-system/src/utils/request_ext.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/banchen/Desktop/agent-parallel-system/src/utils/workspace_path.rs", "Rust", 0, 0, 22, 0, 0, 0, 0, 9, 8, 39
"/home/banchen/Desktop/agent-parallel-system/src/workspace/handler.rs", "Rust", 0, 0, 74, 0, 0, 0, 0, 5, 7, 86
"/home/banchen/Desktop/agent-parallel-system/src/workspace/mod.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/banchen/Desktop/agent-parallel-system/src/workspace/model.rs", "Rust", 0, 0, 63, 0, 0, 0, 0, 13, 13, 89
"/home/banchen/Desktop/agent-parallel-system/src/workspace/workspace_actor.rs", "Rust", 0, 0, 206, 0, 0, 0, 0, 15, 27, 248
"/home/banchen/Desktop/agent-parallel-system/test.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/home/banchen/Desktop/agent-parallel-system/工作Mermaid 流程图.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 36, 157
"Total", "-", 32, 4730, 6554, 4791, 119, 135, 321, 567, 2725, 19974
